"order";"id";"SCI_CODE";"NUMBER";"ACTION";"BAND";"PRECISE";"BIRD";"GENDER";"ATLAS";"PAIRS";"REMARKS";"LON";"LAT";"YEAR";"DATE";"OBSRVR";"SITE";"COUNTY"
"116";"5";"POEMON";"1";"h";"1";TRUE;TRUE;;"v";"1";;"24,64067";"58,77719";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"117";"5";"PHYSIB";"1";"h";"2";TRUE;TRUE;;"v";"1";;"24,64047";"58,77742";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"118";"5";"ANAPLA";"1";"p";"2";TRUE;TRUE;"male";"v";"1";;"24,64081";"58,77738";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"119";"5";"SPISPI";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63490";"58,77742";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"120";"5";"FRICOE";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63529";"58,77635";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"121";"5";"TROTRO";"1";"s";"2";TRUE;TRUE;;"l";"1";;"24,63527";"58,77609";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"122";"5";"PHYSIB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,63485";"58,77653";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"123";"5";"FRICOE";"1";"s";"3";TRUE;TRUE;;"l";"1";;"24,63330";"58,77618";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"124";"5";"ERIRUB";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,63437";"58,77558";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"125";"5";"PARMAJ";"1";"h";"1";TRUE;TRUE;;"R";"1";;"24,63486";"58,77569";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
"126";"5";"FRICOE";"1";"s";"1";TRUE;TRUE;;"l";"1";;"24,63484";"58,77530";"2021";"2021-06-11";"Renno Nellis";"Nurtu-nõlva";"Rapla"
